,Unnamed: 0.1,Unnamed: 0,name,link,cover_url,genres
0,0,0,Where_the_Wild_Things_Are,/book/show/19543.Where_the_Wild_Things_Are,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543.jpg,"Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult"
1,1,1,Green_Eggs_and_Ham,/book/show/23772.Green_Eggs_and_Ham,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772.jpg,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor"
2,2,2,The_Very_Hungry_Caterpillar,/book/show/4948.The_Very_Hungry_Caterpillar,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603739265i/4948.jpg,"Picture Books, Childrens, Fiction, Animals, Classics, Food, Counting"
3,3,3,Charlotte_s_Web,/book/show/24178.Charlotte_s_Web,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178.jpg,"Fiction, Childrens, Classics, Fantasy, Young Adult, Middle Grade, Animals"
4,4,4,The_Giving_Tree,/book/show/370493.The_Giving_Tree,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1725807591i/370493.jpg,"Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy"
5,5,5,The_Cat_in_the_Hat,/book/show/233093.The_Cat_in_the_Hat,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093.jpg,"Childrens, Picture Books, Fiction, Poetry, Classics, Fantasy, Humor"
6,6,6,Harry_Potter_and_the_Sorcerer_s_Stone,/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3.jpg,"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook"
7,7,7,Goodnight_Moon,/book/show/32929.Goodnight_Moon,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929.jpg,"Childrens, Picture Books, Fiction, Classics, Poetry, Kids, Animals"
8,8,8,Charlie_and_the_Chocolate_Factory,/book/show/6310.Charlie_and_the_Chocolate_Factory,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309211401i/6310.jpg,"Fiction, Fantasy, Childrens, Young Adult, Middle Grade, Classics, Humor"
9,9,9,Where_the_Sidewalk_Ends,/book/show/30119.Where_the_Sidewalk_Ends,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1168052448i/30119.jpg,"Poetry, Childrens, Classics, Fiction, Humor, Young Adult, Picture Books"
10,10,10,Winnie_the_Pooh,/book/show/99107.Winnie_the_Pooh,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107.jpg,"Childrens, Fiction, Classics, Fantasy, Animals, Audiobook, Middle Grade"
11,11,11,The_Chronicles_of_Narnia,/book/show/11127.The_Chronicles_of_Narnia,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade"
12,12,12,Love_You_Forever,/book/show/310259.Love_You_Forever,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348832754i/310259.jpg,"Picture Books, Childrens, Fiction, Classics, Family, Love, Realistic Fiction"
450,450,450,39319227-a-day-in-the-life-of-marlon-bundo,/book/show/39319227-a-day-in-the-life-of-marlon-bundo,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521430068i/39319227.jpg,"Picture Books, Childrens, LGBT, Fiction, Humor, Politics, Animals"
451,451,451,Tuesday,/book/show/97860.Tuesday,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328870556i/97860.jpg,"Picture Books, Childrens, Fantasy, Fiction, Animals, Humor, Adventure"
452,452,452,4556058-the-last-olympian,/book/show/4556058-the-last-olympian,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1723393514i/4556058.jpg,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology"
453,453,453,The_Children_of_the_New_Forest,/book/show/341865.The_Children_of_the_New_Forest,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1414346278i/341865.jpg,"Classics, Historical Fiction, Fiction, Childrens, Historical, Young Adult, Adventure"
454,454,454,Rudolph_the_Red_Nosed_Reindeer,/book/show/1215290.Rudolph_the_Red_Nosed_Reindeer,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330095176i/1215290.jpg,"Christmas, Childrens, Picture Books, Classics, Holiday, Fiction, Animals"
455,455,455,The_Very_Busy_Spider,/book/show/556511.The_Very_Busy_Spider,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348983154i/556511.jpg,"Picture Books, Childrens, Animals, Fiction, Storytime, Classics, Kids"
456,456,456,Wanda_s_First_Day,/book/show/717435.Wanda_s_First_Day,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1308337945i/717435.jpg,"Picture Books, Childrens, School, Fantasy, Fiction"
457,457,457,The_Cricket_in_Times_Square,/book/show/24384.The_Cricket_in_Times_Square,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387735970i/24384.jpg,"Childrens, Fiction, Classics, Fantasy, Middle Grade, Animals, Young Adult"
